,,,,,,
Nome do Empreendimento,Unidade,Torre,Área Privativa,Descrição,Valor Total,DATA ENTREGA
VISTA PARQUE CLUBE 2,104,A,45 m²,PNE,"R$ 354.350,00",outubro 2026
VISTA PARQUE CLUBE 2,205,A,45 m²,COM VAGA,"R$ 364.850,00",outubro 2026
VISTA PARQUE CLUBE 2,3,B,63 m²,GARDEN,"R$ 448.350,00",outubro 2026
VISTA PARQUE CLUBE 2,103,B,45 m²,PNE,"R$ 354.350,00",outubro 2026
VISTA PARQUE CLUBE 2,104,B,45 m²,PNE,"R$ 354.350,00",outubro 2026
VISTA PARQUE CLUBE 2,203,B,45 m²,COM VAGA,"R$ 364.850,00",outubro 2026
VILLA SÃO FRANCISCO 4,5,,"42,45 m²",PNE,"R$ 356.000,00",maio 2027
VILLA SÃO FRANCISCO 4,7,,"42,45 m²",PNE GARDEN,"R$ 429.000,00",maio 2027
VILLA SÃO FRANCISCO 4,8,,"42,45 m²",PNE,"R$ 356.000,00",maio 2027
VILLA SÃO FRANCISCO 4,9,,"42,45 m²",PNE GARDEN,"R$ 429.000,00",maio 2027
VILLA SÃO FRANCISCO 4,10,,"43,2 m²",PNE,"R$ 356.000,00",maio 2027
VILLA SÃO FRANCISCO 4,108,,"42,45 m²",COM VAGA,"R$ 352.000,00",maio 2027
VILLA SÃO FRANCISCO 4,109,,"42,45 m²",COM VAGA,"R$ 352.000,00",maio 2027
VILLA SÃO FRANCISCO 4,111,,"43,2 m²",COM VAGA,"R$ 352.000,00",maio 2027
VISTA PARQUE CHACARA DO JOQUEY,5,,"74,55 m²",COM VAGA,"R$ 593.235,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,6,,"118,06 m²",COM VAGA,"R$ 890.575,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,7,,"47,71 m²",COM VAGA,"R$ 502.020,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,8,,"42,05 m²",COM VAGA,"R$ 431.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,9,,"42,05 m²",COM VAGA,"R$ 431.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,12,,"42,05 m²",COM VAGA,"R$ 451.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,13,,"42,05 m²",COM VAGA,"R$ 451.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,14,,"24,04 m²",SEM VAGA,"R$ 340.000,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,16,,"38,27 m²",COM VAGA,"R$ 411.835,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,17,,"24,04 m²",SEM VAGA,"R$ 340.000,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,18,,"42,05 m²",COM VAGA,"R$ 451.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,19,,"42,05 m²",COM VAGA,"R$ 451.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,23,,"42,05 m²",COM VAGA,"R$ 452.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,24,,"24,04 m²",SEM VAGA,"R$ 341.000,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,27,,"24,04 m²",SEM VAGA,"R$ 341.000,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,28,,"42,05 m²",COM VAGA,"R$ 452.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,29,,"42,05 m²",COM VAGA,"R$ 452.525,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,34,,"24,04 m²",SEM VAGA,"R$ 342.000,00",agosto 2028
VISTA PARQUE CHACARA DO JOQUEY,37,,"24,04 m²",SEM VAGA,"R$ 342.000,00",agosto 2028
